race,activities,duration
1,Education with children,30.0
1,Other,67.57
1,Other activities with children,15.57
1,Working and related activities,119.07
2,Education with children,30.37
2,Other,77.94
2,Other activities with children,15.38
2,Working and related activities,123.63
3,Education with children,30.02
3,Other,74.19
3,Other activities with children,10.29
3,Working and related activities,122.72
4,Education with children,32.79
4,Other,71.6
4,Other activities with children,14.73
4,Working and related activities,112.45
